position,winner
XXXXXXXXX,X
XXXXXXXXO,X
XXXXXXXX ,X
XXXXXXXOX,X
XXXXXXXOO,X
XXXXXXXO ,X
XXXXXXX X,X
XXXXXXX O,X
XXXXXXX  ,X
XXXXXXOXX,X
XXXXXXOXO,X
XXXXXXOX ,X
XXXXXXOOX,X
XXXXXXOOO,X
XXXXXXOO ,X
XXXXXXO X,X
XXXXXXO O,X
XXXXXXO  ,X
XXXXXX XX,X
XXXXXX XO,X
XXXXXX X ,X
XXXXXX OX,X
XXXXXX OO,X
XXXXXX O ,X
XXXXXX  X,X
XXXXXX  O,X
XXXXXX   ,X
XXXXXOXXX,X
XXXXXOXXO,X
XXXXXOXX ,X
XXXXXOXOX,X
XXXXXOXOO,X
XXXXXOXO ,X
XXXXXOX X,X
XXXXXOX O,X
XXXXXOX  ,X
XXXXXOOXX,X
XXXXXOOXO,X
XXXXXOOX ,X
XXXXXOOOX,X
XXXXXOOOO,X
XXXXXOOO ,X
XXXXXOO X,X
XXXXXOO O,X
XXXXXOO  ,X
XXXXXO XX,X
XXXXXO XO,X
XXXXXO X ,X
XXXXXO OX,X
XXXXXO OO,X
XXXXXO O ,X
XXXXXO  X,X
XXXXXO  O,X
XXXXXO   ,X
XXXXX XXX,X
XXXXX XXO,X
XXXXX XX ,X
XXXXX XOX,X
XXXXX XOO,X
XXXXX XO ,X
XXXXX X X,X
XXXXX X O,X
XXXXX X  ,X
XXXXX OXX,X
XXXXX OXO,X
XXXXX OX ,X
XXXXX OOX,X
XXXXX OOO,X
XXXXX OO ,X
XXXXX O X,X
XXXXX O O,X
XXXXX O  ,X
XXXXX  XX,X
XXXXX  XO,X
XXXXX  X ,X
XXXXX  OX,X
XXXXX  OO,X
XXXXX  O ,X
XXXXX   X,X
XXXXX   O,X
XXXXX    ,X
XXXXOXXXX,X
XXXXOXXXO,X
XXXXOXXX ,X
XXXXOXXOX,X
XXXXOXXOO,X
XXXXOXXO ,X
XXXXOXX X,X
XXXXOXX O,X
XXXXOXX  ,X
XXXXOXOXX,X
XXXXOXOXO,X
XXXXOXOX ,X
XXXXOXOOX,X
XXXXOXOOO,X
XXXXOXOO ,X
XXXXOXO X,X
XXXXOXO O,X
XXXXOXO  ,X
XXXXOX XX,X
XXXXOX XO,X
XXXXOX X ,X
XXXXOX OX,X
XXXXOX OO,X
XXXXOX O ,X
XXXXOX  X,X
XXXXOX  O,X
XXXXOX   ,X
XXXXOOXXX,X
XXXXOOXXO,X
XXXXOOXX ,X
XXXXOOXOX,X
XXXXOOXOO,X
XXXXOOXO ,X
XXXXOOX X,X
XXXXOOX O,X
XXXXOOX  ,X
XXXXOOOXX,X
XXXXOOOXO,X
XXXXOOOX ,X
XXXXOOOOX,X
XXXXOOOOO,X
XXXXOOOO ,X
XXXXOOO X,X
XXXXOOO O,X
XXXXOOO  ,X
XXXXOO XX,X
XXXXOO XO,X
XXXXOO X ,X
XXXXOO OX,X
XXXXOO OO,X
XXXXOO O ,X
XXXXOO  X,X
XXXXOO  O,X
XXXXOO   ,X
XXXXO XXX,X
XXXXO XXO,X
XXXXO XX ,X
XXXXO XOX,X
XXXXO XOO,X
XXXXO XO ,X
XXXXO X X,X
XXXXO X O,X
XXXXO X  ,X
XXXXO OXX,X
XXXXO OXO,X
XXXXO OX ,X
XXXXO OOX,X
XXXXO OOO,X
XXXXO OO ,X
XXXXO O X,X
XXXXO O O,X
XXXXO O  ,X
XXXXO  XX,X
XXXXO  XO,X
XXXXO  X ,X
XXXXO  OX,X
XXXXO  OO,X
XXXXO  O ,X
XXXXO   X,X
XXXXO   O,X
XXXXO    ,X
XXXX XXXX,X
XXXX XXXO,X
XXXX XXX ,X
XXXX XXOX,X
XXXX XXOO,X
XXXX XXO ,X
XXXX XX X,X
XXXX XX O,X
XXXX XX  ,X
XXXX XOXX,X
XXXX XOXO,X
XXXX XOX ,X
XXXX XOOX,X
XXXX XOOO,X
XXXX XOO ,X
XXXX XO X,X
XXXX XO O,X
XXXX XO  ,X
XXXX X XX,X
XXXX X XO,X
XXXX X X ,X
XXXX X OX,X
XXXX X OO,X
XXXX X O ,X
XXXX X  X,X
XXXX X  O,X
XXXX X   ,X
XXXX OXXX,X
XXXX OXXO,X
XXXX OXX ,X
XXXX OXOX,X
XXXX OXOO,X
XXXX OXO ,X
XXXX OX X,X
XXXX OX O,X
XXXX OX  ,X
XXXX OOXX,X
XXXX OOXO,X
XXXX OOX ,X
XXXX OOOX,X
XXXX OOOO,X
XXXX OOO ,X
XXXX OO X,X
XXXX OO O,X
XXXX OO  ,X
XXXX O XX,X
XXXX O XO,X
XXXX O X ,X
XXXX O OX,X
XXXX O OO,X
XXXX O O ,X
XXXX O  X,X
XXXX O  O,X
XXXX O   ,X
XXXX  XXX,X
XXXX  XXO,X
XXXX  XX ,X
XXXX  XOX,X
XXXX  XOO,X
XXXX  XO ,X
XXXX  X X,X
XXXX  X O,X
XXXX  X  ,X
XXXX  OXX,X
XXXX  OXO,X
XXXX  OX ,X
XXXX  OOX,X
XXXX  OOO,X
XXXX  OO ,X
XXXX  O X,X
XXXX  O O,X
XXXX  O  ,X
XXXX   XX,X
XXXX   XO,X
XXXX   X ,X
XXXX   OX,X
XXXX   OO,X
XXXX   O ,X
XXXX    X,X
XXXX    O,X
XXXX     ,X
XXXOXXXXX,X
XXXOXXXXO,X
XXXOXXXX ,X
XXXOXXXOX,X
XXXOXXXOO,X
XXXOXXXO ,X
XXXOXXX X,X
XXXOXXX O,X
XXXOXXX  ,X
XXXOXXOXX,X
XXXOXXOXO,X
XXXOXXOX ,X
XXXOXXOOX,X
XXXOXXOOO,X
XXXOXXOO ,X
XXXOXXO X,X
XXXOXXO O,X
XXXOXXO  ,X
XXXOXX XX,X
XXXOXX XO,X
XXXOXX X ,X
XXXOXX OX,X
XXXOXX OO,X
XXXOXX O ,X
XXXOXX  X,X
XXXOXX  O,X
XXXOXX   ,X
XXXOXOXXX,X
XXXOXOXXO,X
XXXOXOXX ,X
XXXOXOXOX,X
XXXOXOXOO,X
XXXOXOXO ,X
XXXOXOX X,X
XXXOXOX O,X
XXXOXOX  ,X
XXXOXOOXX,X
XXXOXOOXO,X
XXXOXOOX ,X
XXXOXOOOX,X
XXXOXOOOO,X
XXXOXOOO ,X
XXXOXOO X,X
XXXOXOO O,X
XXXOXOO  ,X
XXXOXO XX,X
XXXOXO XO,X
